id,manufacturer,model,model_year,variant,segment,seats,price_local,currency,range_km,range_rating,battery_capacity_kwh,battery_chemistry,efficiency_wh_km,fast_charge_kw,charge_10_80_min,drivetrain,power_kw,torque_nm,acceleration_0_100_s,top_speed_kmh,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,cargo_volume_l,frunk_volume_l,towing_capacity_kg,curb_weight_kg,onboard_charger_kw,charge_port_type,v2l_capable,plug_and_charge,range_city_km,range_highway_km
tesla-model-s-plaid-2026,Tesla,Model S,2026,Plaid,sedan,5,109990,USD,592,epa,96,nca,193,250,30,awd,760,1420,2.4,322,5021,1987,1431,2960,140,709,89,1600,2265,11,nacs,false,true,,
tesla-model-x-2026,Tesla,Model X,2026,Long Range AWD,suv,7,99990,USD,566,epa,95,nca,199,250,30,awd,504,755,4.1,240,5063,1999,1680,2965,211,425,183,2268,2423,11,nacs,false,true,,
tesla-model-x-plaid-2026,Tesla,Model X,2026,Plaid,suv,7,114990,USD,539,epa,96,nca,211,250,30,awd,760,1020,2.8,262,5063,1999,1680,2965,211,425,183,2268,2465,11,nacs,false,true,,
tesla-cybertruck-awd-2026,Tesla,Cybertruck,2026,All-Wheel Drive,truck,5,69990,USD,523,epa,122.5,nmc,267,325,25,awd,448,671,4.4,180,5682,2199,1790,4358,178,1897,201,4990,3025,11.5,nacs,true,true,,
tesla-cybertruck-cyberbeast-2026,Tesla,Cybertruck,2026,Cyberbeast,truck,5,114990,USD,515,epa,122.5,nmc,292,325,25,awd,630,930,2.9,209,5682,2199,1790,4358,178,1897,201,4990,3104,11.5,nacs,true,true,,
hyundai-kona-electric-sr-2025,Hyundai,Kona Electric,2025,Standard Range,crossover,5,32975,USD,322,epa,48.6,nmc,178,100,43,fwd,99,255,,167,4356,1826,1575,2660,150,722,,,1619,11,ccs,true,false,,
hyundai-kona-electric-lr-2025,Hyundai,Kona Electric,2025,Long Range,crossover,5,36975,USD,420,epa,64.8,nmc,171,100,43,fwd,150,255,,167,4356,1826,1575,2660,150,722,,,1705,11,ccs,true,false,,
hyundai-ioniq-5-sr-2026,Hyundai,IONIQ 5,2026,Standard Range RWD,crossover,5,35000,USD,394,epa,63,nmc,182,350,20,rwd,125,350,,185,4656,1890,1600,3000,155,745,24,,1880,10.9,nacs,true,true,,
hyundai-ioniq-5-rwd-2026,Hyundai,IONIQ 5,2026,Long Range RWD,crossover,5,37500,USD,512,epa,84,nmc,166,350,20,rwd,168,350,,185,4656,1890,1600,3000,155,745,24,,1985,10.9,nacs,true,true,,
hyundai-ioniq-5-awd-2026,Hyundai,IONIQ 5,2026,Long Range AWD,crossover,5,43300,USD,467,epa,84,nmc,180,350,20,awd,239,605,5.3,185,4656,1890,1600,3000,155,745,24,,2090,10.9,nacs,true,true,,
